id,name,street,postcode,city,province,lat,lon,starbucks_store_id,store_url,osm_id,source
alsea-sbux-001,Starbucks A Coruna C.C. Marineda City,Est Banos de Arteixo 43 15008 A Coruna,15008,A Coruña,A Coruña,43.34461,-8.42767,87954-316093,https://www.starbucks.co.uk/store-locator/87954-316093/a-coruna-cc-marineda-city,,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-002,Starbucks El Corte Inglés Ramon y Cajal,"El Corte Ingles Ramoon y Cajal, 57 Ramon y Cajal Street",15006,A Coruña,A Coruña,43.35493,-8.4029,50302-265969,https://www.starbucks.co.uk/store-locator/50302-265969/eci-ramon-y-cajal,node/4558558627,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-003,Starbucks Santiago C.C. As Cancellas,Avenida del camino frances 3 Santiago de Compostela 15703 La Coruna,15703,Santiago de Compostela,A Coruña,42.88944,-8.52644,83705-313406,https://www.starbucks.co.uk/store-locator/83705-313406/santiago-cc-as-cancellas,node/14101468211,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-004,Starbucks Alicante-Elche Departures Land,L Altet Alicante Spain,03195,Alicante,Alicante,38.28808,-0.55269,68901-304092,https://www.starbucks.co.uk/store-locator/68901-304092/alicante-elche-departures-land,node/13597598058,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-005,Starbucks C.C. La Zenia,"La Zenia Shopping Center, 2 Jade Street. Orihuela.",03189,Alicante,Alicante,37.93051,-0.73634,55169-288965,https://www.starbucks.co.uk/store-locator/55169-288965/c.c.-la-zenia,node/10665631812,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-006,Starbucks El Corte Inglés Alicante Federico Soto,El Corte Ingles Alicante,03003,Alicante,Alicante,38.34382,-0.48935,26658-244208,https://www.starbucks.co.uk/store-locator/26658-244208/eci-alicante-federico-soto,,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-007,Starbucks C.C. Habaneras,"Habaneras Shopping Center, 7 Rosa Mazon Valero Avenue",03184,Torrevieja,Alicante,37.98977,-0.68619,50313-267224,https://www.starbucks.co.uk/store-locator/50313-267224/cc-habaneras,,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-008,Starbucks Almeria C.C. Torrecardenas,Calle Medico Francisco Perez Company 44,04009,Almería,Almería,36.86156,-2.43461,85261-313887,https://www.starbucks.co.uk/store-locator/85261-313887/almeria-cc-torrecardenas,,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-009,Starbucks Roquetas de Mar Pc Gran Plaza,"Ctra. de Alicun, s/n, 04740 Roquetas de Mar, Almeria",04740,Roquetas de Mar,Almería,36.78575,-2.60693,86329-315511,https://www.starbucks.co.uk/store-locator/86329-315511/roquetas-de-mar-pc-gran-plaza,,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-010,Starbucks Gijon San Bernardo 70,Calle San Bernardo 70 Gijon 33201,33201,Gijón,Asturias,43.53926,-5.66058,85295-314773,https://www.starbucks.co.uk/store-locator/85295-314773/gijon-san-bernardo-70,,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-011,Starbucks Plaza Escandalera,Plaza Escandalera 1,33003,Oviedo,Asturias,43.36257,-5.84821,51507-276860,https://www.starbucks.co.uk/store-locator/51507-276860/sbux-plaza-escandalera,node/5711739282,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-012,Starbucks Paredes-Siero Parque Principad,Autovia A 66 Km 4 5 Paredes Siero 33429Asturias,33429,Paredes-Siero,Asturias,43.40026,-5.79916,89380-319671,https://www.starbucks.co.uk/store-locator/89380-319671/paredes-siero-parque-principad,,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-013,Starbucks B Hotel,389 Gran Via les Corts Catalanes Street,08015,Barcelona,Barcelona,41.37672,2.15051,53270-284625,https://www.starbucks.co.uk/store-locator/53270-284625/b-hotel,node/12197376653,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-014,Starbucks Barcelona L'Illa Diagonal,Avinguda Diagonal 557 08029 Barcelona,08029,Barcelona,Barcelona,41.38915,2.13382,71009-306001,https://www.starbucks.co.uk/store-locator/71009-306001/barcelona-l'illa-diagonal,,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-015,Starbucks Barcelona Pau Claris 169,Calle Pau Claris 169 08037 Barcelona,08037,Barcelona,Barcelona,41.39559,2.16303,82560-312085,https://www.starbucks.co.uk/store-locator/82560-312085/barcelona-pau-claris-169,,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-016,Starbucks C.C. Gran Via 2,Avenida Gran Via 75,08908,Barcelona,Barcelona,41.35959,2.12986,55493-289134,https://www.starbucks.co.uk/store-locator/55493-289134/c.c.-gran-via-2,,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-017,Starbucks C.C. Splau Barcelona,"Splau Shopping Center, Baix Llobregat Ave. Cornella Llobregat",08940,Barcelona,Barcelona,41.3477,2.07773,56829-290812,https://www.starbucks.co.uk/store-locator/56829-290812/c.c.-splau-barcelona,way/1526542504,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-018,Starbucks La Maquinista,La Maquinista Shopping Center,08030,Barcelona,Barcelona,41.4419,2.19851,3139-138613,https://www.starbucks.co.uk/store-locator/3139-138613/la-maquinista,,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-019,Starbucks Laietana 32,32 Via Laietana,08003,Barcelona,Barcelona,41.38507,2.17735,40429-96876,https://www.starbucks.co.uk/store-locator/40429-96876/laietana-32,node/1072761322,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-020,Starbucks Maremagnum,C C Maremagnum Moll d Espanya 7,08039,Barcelona,Barcelona,41.37478,2.18278,30616-99539,https://www.starbucks.co.uk/store-locator/30616-99539/maremagnum,node/9429021627,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-021,Starbucks Paseo de Gracia,Paseo de Gracia 103,08008,Barcelona,Barcelona,41.39574,2.15979,67943-302838,https://www.starbucks.co.uk/store-locator/67943-302838/sbux-paseo-de-gracia,node/10761667289,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-022,Starbucks Rambla Cataluna,"10 Rambla Catalunya, Eixample Esquerre",08007,Barcelona,Barcelona,41.38807,2.16809,40416-90706,https://www.starbucks.co.uk/store-locator/40416-90706/rambla-cataluna,node/704051187,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-023,Starbucks Ronda Sant Pere,17 Ronda Sant Pere,08026,Barcelona,Barcelona,41.38868,2.17194,31390-103782,https://www.starbucks.co.uk/store-locator/31390-103782/ronda-sant-pere,node/704042058,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-024,Starbucks Room Mate Anna 2,Carrer d Arago 271,08007,Barcelona,Barcelona,41.39287,2.16557,54044-286301,https://www.starbucks.co.uk/store-locator/54044-286301/room-mate-anna-2,node/5641945821,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-025,Starbucks Sagrada Familia,19 Sagrada Familia Square,08013,Barcelona,Barcelona,41.40229,2.17389,40418-88743,https://www.starbucks.co.uk/store-locator/40418-88743/sagrada-familia,node/3749438191,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-026,Starbucks Viladecans The Style Outlets,Ctra Variant 245 90,08840,Viladecans,Barcelona,41.3061,2.02515,70824-305779,https://www.starbucks.co.uk/store-locator/70824-305779/viladecans-the-style-outlets,node/11309347311,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-027,Starbucks Bilbao El Corte Inglés,"Gran Via de Don Diego Lopez de Haro, 20, Centro Comercial, 48001 Bilbao",48001,Bilbao,Bizkaia,43.2636,-2.93108,24373-306872,https://www.starbucks.co.uk/store-locator/24373-306872/bilbao-eci,,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-028,Starbucks Bilbao Pl. Moyua,"Pl. de Don Federico Moyua, Bilbao, Vizcaya",48009,Bilbao,Bizkaia,43.26265,-2.93512,71022-306005,https://www.starbucks.co.uk/store-locator/71022-306005/bilbao-pl.-moyua,node/10068170716,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-029,Starbucks C. Navarra,Calle Navarra 8,48001,Bilbao,Bizkaia,43.26094,-2.92628,53273-284626,https://www.starbucks.co.uk/store-locator/53273-284626/c.-navarra,node/5602670168,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-030,Starbucks El Corte Inglés Santander,"El Corte Ingles Santander, Nueva Montana",39001,Santander,Cantabria,43.43787,-3.84013,51468-266028,https://www.starbucks.co.uk/store-locator/51468-266028/eci-santander,node/11462196549,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-031,Starbucks Santander Paseo Pereda 10,"P. de Pereda, 10, 39004 Santander, Cantabria",39004,Santander,Cantabria,43.46198,-3.80357,77061-306907,https://www.starbucks.co.uk/store-locator/77061-306907/santander-paseo-pereda-10,node/11861824408,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-032,Starbucks Castellon C.C. Salera,"Av. Enrique Gimeno, 82, 12006 Castellon de la Plana, Castellon",12006,Castellón,Castellón,39.97926,-0.06091,85162-310637,https://www.starbucks.co.uk/store-locator/85162-310637/castellon-cc-salera,,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-033,Starbucks Cordoba-Mezquita,C Torrijos corner Medina y Corella,14003,Córdoba,Córdoba,37.87987,-4.77891,57969-291638,https://www.starbucks.co.uk/store-locator/57969-291638/cordoba-mezquita,,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-034,Starbucks Plaza de Las Tendillas,"2 Las Tendillas Square, Esquina Street Malaga",14002,Córdoba,Córdoba,37.88434,-4.78005,53384-285007,https://www.starbucks.co.uk/store-locator/53384-285007/plaza-de-las-tendillas,node/3678099002,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-035,Starbucks C.C. Garbera,"C.C. Garbera Garbera Zeharbidea, Garberako, 1",20017,San Sebastián,Gipuzkoa,43.30854,-1.94542,66990-300861,https://www.starbucks.co.uk/store-locator/66990-300861/cc-garbera,way/1249865311,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-036,Starbucks Libertad San Sebastian,"40 la Libertad Avenue, 58 Ramon y Cajal Street",20004,San Sebastián,Gipuzkoa,43.31911,-1.98403,50303-266029,https://www.starbucks.co.uk/store-locator/50303-266029/libertad-san-sebastian,node/5709314762,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-037,Starbucks Girona C.C. Espai Girones,Cami dels Carlins 10,17190,Gerona,Girona,41.96711,2.78138,80874-310152,https://www.starbucks.co.uk/store-locator/80874-310152/girona-c.c.-espai-girones,,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-038,Starbucks Gran Jonquera,Avenida de Galicia 22 17700 La Jonquera,17700,La Jonquera,Girona,42.40244,2.88125,87771-317945,https://www.starbucks.co.uk/store-locator/87771-317945/gran-jonquera,,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-039,Starbucks Lloret de Mar Calle de Sant Pe,Carrer de Sant Pere 14 17310 Lloret deMar Girona,17310,Lloret de Mar,Girona,41.69994,2.8466,85482-315237,https://www.starbucks.co.uk/store-locator/85482-315237/lloret-de-mar-calle-de-sant-pe,,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
alsea-sbux-040,Starbucks C.C. Nevada,"Nevada Shopping Shopping Center, 75 las Palmeras Avenue. Aramilla.",18100,Granada,Granada,37.14658,-3.61342,56289-290196,https://www.starbucks.co.uk/store-locator/56289-290196/c.c.-nevada,,Starbucks store locator (starbucks.co.uk/api/v2/stores) vía AllThePlaces run 2026-09-19 spider starbucks_eu
