id,name,street,postcode,city,province,lat,lon,osm_id,osm_url,opening_hours,source
jti-xtanco-001,Estanco Juan Florez,Rúa Juan Flórez 40,15004,A Coruña,A Coruña,43.365151,-8.408523,node/6406908470,https://www.openstreetmap.org/node/6406908470,"Mo-Fr 08:30-21:00;Sa 10:00-14:30,17:00-21:00; Su 10:00-14:30",OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-002,Estanco La Fortaleza,Costa da Tapia 26,15679,Cambre,A Coruña,43.318085,-8.356167,node/13525361503,https://www.openstreetmap.org/node/13525361503,Mo-Fr 08:30-21:00; Sa 09:30-14:30,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-003,Tabacos Lerri,Rúa Rosalía de Castro 9,15270,Cee,A Coruña,42.954207,-9.188358,node/12625657157,https://www.openstreetmap.org/node/12625657157,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-004,San Pablo,Calle Calatrava 21,02006,Albacete,Albacete,38.995628,-1.873593,node/13661267325,https://www.openstreetmap.org/node/13661267325,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-005,Estanco,Plaça de l’Església,03550,San Juan de Alicante,Alicante,38.401578,-0.435833,node/6278542697,https://www.openstreetmap.org/node/6278542697,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-006,Estanco Expendidura 25,Avinguda d'Aguilera 33,03007,Alicante,Alicante,38.342997,-0.497797,node/4697672755,https://www.openstreetmap.org/node/4697672755,Mo-Fr 08:30-21:00; Sa 09:00-14:00,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-007,Expendeduría Les Rotes,Carretera de Dénia a Xàbia 20,03700,Dénia,Alicante,38.836458,0.117498,node/8507396221,https://www.openstreetmap.org/node/8507396221,"Tu-Su 08:30-14:30,17:00-20:00",OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-008,Estanco Mercedes,Avenida Diecinueve de Abril 49A,03193,San Miguel de Salinas,Alicante,37.981204,-0.789331,node/1946027827,https://www.openstreetmap.org/node/1946027827,"Mo-Fr 08:00-14:00,16:00-21:00; Sa 08:30-14:30; Su 10:00-14:00",OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-009,Estanco,Paseo de Almería 12,04001,Almería,Almería,36.840364,-2.463812,node/3421357873,https://www.openstreetmap.org/node/3421357873,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
jti-xtanco-010,Tabacos,C. Agua 3,04838,"María, Almería",Almería,37.710903,-2.165458,way/1426428274,https://www.openstreetmap.org/way/1426428274,,OpenStreetMap shop=tobacco · extracto Geofabrik spain-latest (24-sep-2026)
